set,n,result,instance,D,runtime,seed
BBGRL,1000,1,1000_ep0.0075_0_gilbert_9.in,10,10.4068,1.50E+18
BBGRL,1000,994,1000_ep0.01_0_gilbert_4.in,1,56.255,1.50372E+18
BBGRL,1000,987,1000_ep0.01_0_gilbert_4.in,2,144.6081,1.50372E+18
BBGRL,1000,982,1000_ep0.01_0_gilbert_4.in,3,167.1466,1.50372E+18
BBGRL,1000,977,1000_ep0.01_0_gilbert_4.in,4,167.1581,1.50372E+18
BBGRL,1000,969,1000_ep0.01_0_gilbert_4.in,5,167.3875,1.50372E+18
BBGRL,1000,963,1000_ep0.01_0_gilbert_4.in,6,167.7658,1.50372E+18
BBGRL,1000,959,1000_ep0.01_0_gilbert_4.in,7,167.7027,1.50372E+18
BBGRL,1000,955,1000_ep0.01_0_gilbert_4.in,8,167.2085,1.50372E+18
BBGRL,1000,948,1000_ep0.01_0_gilbert_4.in,9,167.6336,1.50372E+18
BBGRL,1000,933,1000_ep0.01_0_gilbert_4.in,10,168.4453,1.50372E+18
BBGRL,1000,994,1000_ep0.0125_0_gilbert_4.in,1,65.6442,1.50372E+18
BBGRL,1000,989,1000_ep0.0125_0_gilbert_4.in,2,167.2519,1.50372E+18
BBGRL,1000,984,1000_ep0.0125_0_gilbert_4.in,3,167.5827,1.50372E+18
BBGRL,1000,978,1000_ep0.0125_0_gilbert_4.in,4,169.1635,1.50372E+18
BBGRL,1000,973,1000_ep0.0125_0_gilbert_4.in,5,167.34,1.50372E+18
BBGRL,1000,957,1000_ep0.0125_0_gilbert_4.in,6,167.4888,1.50372E+18
BBGRL,1000,1,1000_ep0.0125_0_gilbert_4.in,7,14.5138,1.50372E+18
BBGRL,1000,1,1000_ep0.0125_0_gilbert_4.in,8,15.54,1.50372E+18
BBGRL,1000,1,1000_ep0.0125_0_gilbert_4.in,9,15.0729,1.50372E+18
BBGRL,1000,1,1000_ep0.0125_0_gilbert_4.in,10,15.8382,1.50372E+18
BBGRL,1000,994,1000_ep0.01_0_gilbert_2.in,1,55.6562,1.50372E+18
BBGRL,1000,987,1000_ep0.01_0_gilbert_2.in,2,167.455,1.50372E+18
BBGRL,1000,981,1000_ep0.01_0_gilbert_2.in,3,167.1663,1.50372E+18
BBGRL,1000,974,1000_ep0.01_0_gilbert_2.in,4,167.1745,1.50372E+18
BBGRL,1000,969,1000_ep0.01_0_gilbert_2.in,5,167.4947,1.50372E+18
BBGRL,1000,961,1000_ep0.01_0_gilbert_2.in,6,167.2305,1.50372E+18
BBGRL,1000,955,1000_ep0.01_0_gilbert_2.in,7,167.4718,1.50372E+18
